Arkansas,ARKA1
Colorado,COLO1
District of Columbia,DISTR1
Illinois,ILLI1
Louisiana,LOUS1
Maryland,MARY1
Massachusetts,MASS1
Mississippi,MISS1
New Jersey,NEWJ1
New Mexico,NEWM1
New York,NEWY1
Ohio,OHIO1
Rhode Island,RHOD1
