id,name,field_state_code,weight
1,Arkansas,ARKA1,1
2,Colorado,CO1876,2
3,District of Columbia,DC1790,3
4,Illinois,IL1818,4
5,Louisiana,LOUS1,5
6,Maryland,MD1788,6
7,Massachusetts,MA1788,7
8,Mississippi,MISS1,8
9,New Jersey,NJ1787,9
10,New Mexico,NM1912,10
11,New York,NEWY1,11
12,Ohio,OHIO1,12
13,Rhode Island,RI1790,13
